,ticker
0,A
1,AAL
2,AAPL
3,ABBV
4,ABNB
5,ABT
6,ACGL
7,ACN
8,ADBE
9,ADI
10,ADM
11,ADP
12,ADSK
13,AEE
14,AEP
15,AES
16,AFL
17,AIG
18,AIZ
19,AJG
20,AKAM
21,ALB
22,ALGN
23,ALK
24,ALL
25,ALLE
26,AMAT
27,AMCR
28,AMD
29,AME
30,AMGN
31,AMP
32,AMT
33,AMZN
34,ANET
35,ANSS
36,AON
37,AOS
38,APA
39,APD
40,APH
41,APTV
42,ARE
43,ATO
44,AVB
45,AVGO
46,AVY
47,AWK
48,AXON
49,AXP
50,AZO
51,BA
52,BAC
53,BAX
54,BBWI
55,BBY
56,BDX
57,BEN
58,BFb
59,BG
60,BIIB
61,BIO
62,BK
63,BKNG
64,BKR
65,BLK
66,BLL
67,BMY
68,BR
69,BRKb
70,BRO
71,BSX
72,BWA
73,BX
74,BXP
75,C
76,CAG
77,CAH
78,CARR
79,CAT
80,CB
81,CBOE
82,CBRE
83,CCI
84,CCL
85,CDAY
86,CDNS
87,CDW
88,CE
89,CEG
90,CF
91,CFG
92,CHD
93,CHRW
94,CHTR
95,CI
96,CINF
97,CL
98,CLX
99,CMA
100,CMCSA
101,CME
102,CMG
103,CMI
104,CMS
105,CNC
106,CNP
107,COF
108,COO
109,COP
110,COR
111,COST
112,CPB
113,CPRT
114,CPT
115,CRL
116,CRM
117,CSCO
118,CSGP
119,CSX
120,CTAS
121,CTLT
122,CTRA
123,CTSH
124,CTVA
125,CVS
126,CVX
127,CZR
128,D
129,DAL
130,DD
131,DE
132,DFS
133,DG
134,DGX
135,DHI
136,DHR
137,DIS
138,DLR
139,DLTR
140,DOV
141,DOW
142,DPZ
143,DRI
144,DTE
145,DUK
146,DVA
147,DVN
148,DXCM
149,EA
150,EBAY
151,ECL
152,ED
153,EFX
154,EG
155,EIX
156,EL
157,ELV
158,EMN
159,EMR
160,ENPH
161,EOG
162,EPAM
163,EQIX
164,EQR
165,EQT
166,ES
167,ESS
168,ETN
169,ETR
170,ETSY
171,EVRG
172,EW
173,EXC
174,EXPD
175,EXPE
176,EXR
177,F
178,FANG
179,FAST
180,FCX
181,FDS
182,FDX
183,FE
184,FFIV
185,FI
186,FICO
187,FIS
188,FITB
189,FLT
190,FMC
191,FOX
192,FOXA
193,FRT
194,FSLR
195,FTNT
196,FTV
197,GD
198,GE
199,GEHC
200,GILD
201,GIS
202,GL
203,GLW
204,GM
205,GNRC
206,GOOG
207,GOOGL
208,GPC
209,GPN
210,GRMN
211,GS
212,GWW
213,HAL
214,HAS
215,HBAN
216,HCA
217,HD
218,HES
219,HIG
220,HII
221,HLT
222,HOLX
223,HON
224,HPE
225,HPQ
226,HRL
227,HSIC
228,HST
229,HSY
230,HUBb
231,HUM
232,HWM
233,IBM
234,ICE
235,IDXX
236,IEX
237,IFF
238,ILMN
239,INCY
240,INTC
241,INTU
242,INVH
243,IP
244,IPG
245,IQV
246,IR
247,IRM
248,ISRG
249,IT
250,ITW
251,IVZ
252,J
253,JBHT
254,JCI
255,JKHY
256,JNJ
257,JNPR
258,JPM
259,K1_BASKET
260,KDP
261,KEY
262,KEYS
263,KHC
264,KIM
265,KLAC
266,KMB
267,KMI
268,KMX
269,KO
270,KR
271,KVUE
272,L
273,LDOS
274,LEN
275,LH
276,LHX
277,LIN
278,LKQ
279,LLY
280,LMT
281,LNT
282,LOW
283,LRCX
284,LULU
285,LUV
286,LVS
287,LW
288,LYB
289,LYV
290,MA
291,MAA
292,MAR
293,MAS
294,MCD
295,MCHP
296,MCK
297,MCO
298,MDLZ
299,MDT
300,MET
301,META
302,MGM
303,MHK
304,MKC
305,MKTX
306,MLM
307,MMC
308,MMM
309,MNST
310,MO
311,MOH
312,MOS
313,MPC
314,MPWR
315,MRK
316,MRNA
317,MRO
318,MS
319,MSCI
320,MSFT
321,MSI
322,MTB
323,MTCH
324,MTD
325,MU
326,NCLH
327,NDAQ
328,NDSN
329,NEE
330,NEM
331,NFLX
332,NI
333,NKE
334,NLOK
335,NOC
336,NOW
337,NRG
338,NSC
339,NTAP
340,NTRS
341,NUE
342,NVDA
343,NVR
344,NWS
345,NWSA
346,NXPI
347,O
348,ODFL
349,OKE
350,OMC
351,ON
352,ORCL
353,ORLY
354,OTIS
355,OXY
356,PANW
357,PAYC
358,PAYX
359,PCAR
360,PCG
361,PEAK
362,PEG
363,PEP
364,PFE
365,PFG
366,PG
367,PGR
368,PH
369,PHM
370,PKG
371,PLD
372,PM
373,PNC
374,PNR
375,PNW
376,PODD
377,POOL
378,PPG
379,PPL
380,PRU
381,PSA
382,PSX
383,PTC
384,PWR
385,PXD
386,PYPL
387,QCOM
388,QRVO
389,RCL
390,REG
391,REGN
392,RF
393,RHI
394,RJF
395,RL
396,RMD
397,ROK
398,ROL
399,ROP
400,ROST
401,RSG
402,RTX
403,SBAC
404,SBUX
405,SCHW
406,SEDG
407,SEE
408,SHW
409,SJM
410,SLB
411,SNA
412,SNPS
413,SO
414,SPG
415,SPGI
416,SRE
417,STE
418,STLD
419,STT
420,STX
421,STZ
422,SWK
423,SWKS
424,SYF
425,SYK
426,SYY
427,T
428,TAP
429,TDG
430,TDY
431,TECH
432,TEL
433,TER
434,TFC
435,TFX
436,TGT
437,TJX
438,TMO
439,TMUS
440,TPR
441,TRGP
442,TRMB
443,TROW
444,TRV
445,TSCO
446,TSLA
447,TSN
448,TT
449,TTWO
450,TXN
451,TXT
452,TYL
453,UAL
454,UDR
455,UHS
456,ULTA
457,UNH
458,UNP
459,UPS
460,URI
461,US500.I
462,USB
463,V
464,VFC
465,VIAC
466,VICI
467,VLO
468,VLTO
469,VMC
470,VRSK
471,VRSN
472,VRTX
473,VTR
474,VTRS
475,VZ
476,WAB
477,WAT
478,WBA
479,WBD
480,WDC
481,WEC
482,WELL
483,WFC
484,WHR
485,WM
486,WMB
487,WMT
488,WRB
489,WRK
490,WST
491,WTW
492,WY
493,WYNN
494,XEL
495,XOM
496,XRAY
497,XYL
498,YUM
499,ZBH
500,ZBRA
501,ZION
502,ZTS
